kabupaten_kota,tahun,bulan,nama_bulan,jumlah_wisatawan
Banggai,2024,1,Januari,63396
Banggai Kepulauan,2024,1,Januari,27825
Banggai Laut,2024,1,Januari,17303
Buol,2024,1,Januari,18080
Donggala,2024,1,Januari,88179
Kota Palu,2024,1,Januari,226540
Morowali,2024,1,Januari,120827
Morowali Utara,2024,1,Januari,60673
Parigi Moutong,2024,1,Januari,82498
Poso,2024,1,Januari,87900
Sigi,2024,1,Januari,87074
Tojo Una-una,2024,1,Januari,27649
Tolitoli,2024,1,Januari,33468
Banggai,2024,2,Februari,47993
Banggai Kepulauan,2024,2,Februari,22383
Banggai Laut,2024,2,Februari,13353
Buol,2024,2,Februari,17175
Donggala,2024,2,Februari,87072
Kota Palu,2024,2,Februari,200359
Morowali,2024,2,Februari,106617
Morowali Utara,2024,2,Februari,52902
Parigi Moutong,2024,2,Februari,72109
Poso,2024,2,Februari,71793
Sigi,2024,2,Februari,82991
Tojo Una-una,2024,2,Februari,25329
Tolitoli,2024,2,Februari,31218
Banggai,2024,3,Maret,50195
Banggai Kepulauan,2024,3,Maret,21305
Banggai Laut,2024,3,Maret,12768
Buol,2024,3,Maret,15392
Donggala,2024,3,Maret,76527
Kota Palu,2024,3,Maret,207060
Morowali,2024,3,Maret,101589
Morowali Utara,2024,3,Maret,49287
Parigi Moutong,2024,3,Maret,68368
Poso,2024,3,Maret,71062
Sigi,2024,3,Maret,78574
Tojo Una-una,2024,3,Maret,22961
Tolitoli,2024,3,Maret,34297
Banggai,2024,4,April,68504
Banggai Kepulauan,2024,4,April,28988
Banggai Laut,2024,4,April,15962
Buol,2024,4,April,24855
Donggala,2024,4,April,117208
Kota Palu,2024,4,April,258616
Morowali,2024,4,April,113203
Morowali Utara,2024,4,April,56298
Parigi Moutong,2024,4,April,101245
Poso,2024,4,April,87795
Sigi,2024,4,April,98207
Tojo Una-una,2024,4,April,37376
Tolitoli,2024,4,April,53607
Banggai,2024,5,Mei,53179
Banggai Kepulauan,2024,5,Mei,20070
Banggai Laut,2024,5,Mei,10430
Buol,2024,5,Mei,14325
Donggala,2024,5,Mei,81412
Kota Palu,2024,5,Mei,225859
Morowali,2024,5,Mei,88448
Morowali Utara,2024,5,Mei,45668
Parigi Moutong,2024,5,Mei,65864
Poso,2024,5,Mei,69558
Sigi,2024,5,Mei,86010
Tojo Una-una,2024,5,Mei,23178
Tolitoli,2024,5,Mei,30470
Banggai,2024,6,Juni,42536
Banggai Kepulauan,2024,6,Juni,20409
Banggai Laut,2024,6,Juni,13875
Buol,2024,6,Juni,13774
Donggala,2024,6,Juni,87743
Kota Palu,2024,6,Juni,209050
Morowali,2024,6,Juni,70451
Morowali Utara,2024,6,Juni,41050
Parigi Moutong,2024,6,Juni,68061
Poso,2024,6,Juni,70655
Sigi,2024,6,Juni,87827
Tojo Una-una,2024,6,Juni,21852
Tolitoli,2024,6,Juni,27238
Banggai,2024,7,Juli,47701
Banggai Kepulauan,2024,7,Juli,16614
Banggai Laut,2024,7,Juli,9575
Buol,2024,7,Juli,13022
Donggala,2024,7,Juli,72827
Kota Palu,2024,7,Juli,216796
Morowali,2024,7,Juli,69051
Morowali Utara,2024,7,Juli,55099
Parigi Moutong,2024,7,Juli,64987
Poso,2024,7,Juli,70087
Sigi,2024,7,Juli,83047
Tojo Una-una,2024,7,Juli,22751
Tolitoli,2024,7,Juli,28215
Banggai,2024,8,Agustus,32617
Banggai Kepulauan,2024,8,Agustus,11742
Banggai Laut,2024,8,Agustus,8653
Buol,2024,8,Agustus,9754
Donggala,2024,8,Agustus,55658
Kota Palu,2024,8,Agustus,166118
Morowali,2024,8,Agustus,54167
Morowali Utara,2024,8,Agustus,30871
Parigi Moutong,2024,8,Agustus,45215
Poso,2024,8,Agustus,46159
Sigi,2024,8,Agustus,64248
Tojo Una-una,2024,8,Agustus,16705
Tolitoli,2024,8,Agustus,20051
Banggai,2024,9,September,35754
Banggai Kepulauan,2024,9,September,15516
Banggai Laut,2024,9,September,11229
Buol,2024,9,September,10273
Donggala,2024,9,September,61328
Kota Palu,2024,9,September,173100
Morowali,2024,9,September,53685
Morowali Utara,2024,9,September,30165
Parigi Moutong,2024,9,September,51277
Poso,2024,9,September,51292
Sigi,2024,9,September,65477
Tojo Una-una,2024,9,September,17798
Tolitoli,2024,9,September,20486
Banggai,2024,10,Oktober,36540
Banggai Kepulauan,2024,10,Oktober,14200
Banggai Laut,2024,10,Oktober,8349
Buol,2024,10,Oktober,10300
Donggala,2024,10,Oktober,58628
Kota Palu,2024,10,Oktober,179010
Morowali,2024,10,Oktober,53012
Morowali Utara,2024,10,Oktober,30385
Parigi Moutong,2024,10,Oktober,48965
Poso,2024,10,Oktober,49397
Sigi,2024,10,Oktober,66252
Tojo Una-una,2024,10,Oktober,15836
Tolitoli,2024,10,Oktober,18458
Banggai,2024,11,November,35382
Banggai Kepulauan,2024,11,November,15691
Banggai Laut,2024,11,November,10144
Buol,2024,11,November,9148
Donggala,2024,11,November,59696
Kota Palu,2024,11,November,183029
Morowali,2024,11,November,52276
Morowali Utara,2024,11,November,29160
Parigi Moutong,2024,11,November,50855
Poso,2024,11,November,42204
Sigi,2024,11,November,63704
Tojo Una-una,2024,11,November,15719
Tolitoli,2024,11,November,15883
Banggai,2024,12,Desember,61166
Banggai Kepulauan,2024,12,Desember,26209
Banggai Laut,2024,12,Desember,20424
Buol,2024,12,Desember,14988
Donggala,2024,12,Desember,91631
Kota Palu,2024,12,Desember,317456
Morowali,2024,12,Desember,86831
Morowali Utara,2024,12,Desember,51936
Parigi Moutong,2024,12,Desember,85858
Poso,2024,12,Desember,77748
Sigi,2024,12,Desember,103648
Tojo Una-una,2024,12,Desember,25743
Tolitoli,2024,12,Desember,31303
Banggai,2025,1,Januari,61301
Banggai Kepulauan,2025,1,Januari,21771
Banggai Laut,2025,1,Januari,16601
Buol,2025,1,Januari,15554
Donggala,2025,1,Januari,103198
Kota Palu,2025,1,Januari,290944
Morowali,2025,1,Januari,91890
Morowali Utara,2025,1,Januari,55254
Parigi Moutong,2025,1,Januari,88046
Poso,2025,1,Januari,98487
Sigi,2025,1,Januari,102865
Tojo Una-una,2025,1,Januari,30154
Tolitoli,2025,1,Januari,28698
Banggai,2025,2,Februari,48246
Banggai Kepulauan,2025,2,Februari,19406
Banggai Laut,2025,2,Februari,14956
Buol,2025,2,Februari,14133
Donggala,2025,2,Februari,86670
Kota Palu,2025,2,Februari,258194
Morowali,2025,2,Februari,88178
Morowali Utara,2025,2,Februari,45937
Parigi Moutong,2025,2,Februari,80368
Poso,2025,2,Februari,69251
Sigi,2025,2,Februari,95880
Tojo Una-una,2025,2,Februari,25670
Tolitoli,2025,2,Februari,28214
Banggai,2025,3,Maret,49363
Banggai Kepulauan,2025,3,Maret,15495
Banggai Laut,2025,3,Maret,11805
Buol,2025,3,Maret,12399
Donggala,2025,3,Maret,73096
Kota Palu,2025,3,Maret,251599
Morowali,2025,3,Maret,109055
Morowali Utara,2025,3,Maret,51150
Parigi Moutong,2025,3,Maret,79904
Poso,2025,3,Maret,68799
Sigi,2025,3,Maret,89741
Tojo Una-una,2025,3,Maret,22614
Tolitoli,2025,3,Maret,24745
Banggai,2025,4,April,73222
Banggai Kepulauan,2025,4,April,28192
Banggai Laut,2025,4,April,14988
Buol,2025,4,April,23426
Donggala,2025,4,April,134054
Kota Palu,2025,4,April,293976
Morowali,2025,4,April,95522
Morowali Utara,2025,4,April,56284
Parigi Moutong,2025,4,April,118965
Poso,2025,4,April,94105
Sigi,2025,4,April,119836
Tojo Una-una,2025,4,April,43639
Tolitoli,2025,4,April,51706
Banggai,2025,5,Mei,46684
Banggai Kepulauan,2025,5,Mei,17756
Banggai Laut,2025,5,Mei,10658
Buol,2025,5,Mei,12548
Donggala,2025,5,Mei,93184
Kota Palu,2025,5,Mei,303761
Morowali,2025,5,Mei,80301
Morowali Utara,2025,5,Mei,49759
Parigi Moutong,2025,5,Mei,71184
Poso,2025,5,Mei,74591
Sigi,2025,5,Mei,102821
Tojo Una-una,2025,5,Mei,25196
Tolitoli,2025,5,Mei,25820
Banggai,2025,6,Juni,54640
Banggai Kepulauan,2025,6,Juni,21090
Banggai Laut,2025,6,Juni,11590
Buol,2025,6,Juni,16462
Donggala,2025,6,Juni,115526
Kota Palu,2025,6,Juni,305960
Morowali,2025,6,Juni,83223
Morowali Utara,2025,6,Juni,55047
Parigi Moutong,2025,6,Juni,108449
Poso,2025,6,Juni,88661
Sigi,2025,6,Juni,113177
Tojo Una-una,2025,6,Juni,34895
Tolitoli,2025,6,Juni,33041
Banggai,2025,7,Juli,52570
Banggai Kepulauan,2025,7,Juli,18513
Banggai Laut,2025,7,Juli,10111
Buol,2025,7,Juli,14527
Donggala,2025,7,Juli,89997
Kota Palu,2025,7,Juli,303682
Morowali,2025,7,Juli,86145
Morowali Utara,2025,7,Juli,52776
Parigi Moutong,2025,7,Juli,82448
Poso,2025,7,Juli,78844
Sigi,2025,7,Juli,104679
Tojo Una-una,2025,7,Juli,26982
Tolitoli,2025,7,Juli,30341
Banggai,2025,8,Agustus,46245
Banggai Kepulauan,2025,8,Agustus,17489
Banggai Laut,2025,8,Agustus,9422
Buol,2025,8,Agustus,30741
Donggala,2025,8,Agustus,92603
Kota Palu,2025,8,Agustus,276747
Morowali,2025,8,Agustus,86223
Morowali Utara,2025,8,Agustus,46957
Parigi Moutong,2025,8,Agustus,83418
Poso,2025,8,Agustus,81796
Sigi,2025,8,Agustus,96169
Tojo Una-una,2025,8,Agustus,24618
Tolitoli,2025,8,Agustus,33722
Banggai,2025,9,September,46434
Banggai Kepulauan,2025,9,September,15191
Banggai Laut,2025,9,September,10225
Buol,2025,9,September,14086
Donggala,2025,9,September,91704
Kota Palu,2025,9,September,278654
Morowali,2025,9,September,88472
Morowali Utara,2025,9,September,44765
Parigi Moutong,2025,9,September,74980
Poso,2025,9,September,76010
Sigi,2025,9,September,102025
Tojo Una-una,2025,9,September,26216
Tolitoli,2025,9,September,26431
Banggai,2025,10,Oktober,47815
Banggai Kepulauan,2025,10,Oktober,15915
Banggai Laut,2025,10,Oktober,11746
Buol,2025,10,Oktober,14301
Donggala,2025,10,Oktober,94699
Kota Palu,2025,10,Oktober,300575
Morowali,2025,10,Oktober,92415
Morowali Utara,2025,10,Oktober,44587
Parigi Moutong,2025,10,Oktober,80451
Poso,2025,10,Oktober,77224
Sigi,2025,10,Oktober,106588
Tojo Una-una,2025,10,Oktober,27610
Tolitoli,2025,10,Oktober,28123
Banggai,2025,11,November,54720
Banggai Kepulauan,2025,11,November,17534
Banggai Laut,2025,11,November,18103
Buol,2025,11,November,14532
Donggala,2025,11,November,100267
Kota Palu,2025,11,November,306081
Morowali,2025,11,November,91370
Morowali Utara,2025,11,November,46235
Parigi Moutong,2025,11,November,86335
Poso,2025,11,November,72371
Sigi,2025,11,November,108333
Tojo Una-una,2025,11,November,28536
Tolitoli,2025,11,November,28082
Banggai,2025,12,Desember,65636
Banggai Kepulauan,2025,12,Desember,18460
Banggai Laut,2025,12,Desember,11505
Buol,2025,12,Desember,16979
Donggala,2025,12,Desember,116307
Kota Palu,2025,12,Desember,356009
Morowali,2025,12,Desember,109037
Morowali Utara,2025,12,Desember,55931
Parigi Moutong,2025,12,Desember,101486
Poso,2025,12,Desember,88976
Sigi,2025,12,Desember,127960
Tojo Una-una,2025,12,Desember,34287
Tolitoli,2025,12,Desember,35284
Banggai,2026,1,Januari,63744
Banggai Kepulauan,2026,1,Januari,21708
Banggai Laut,2026,1,Januari,15565
Buol,2026,1,Januari,17365
Donggala,2026,1,Januari,117983
Kota Palu,2026,1,Januari,281833
Morowali,2026,1,Januari,90161
Morowali Utara,2026,1,Januari,50986
Parigi Moutong,2026,1,Januari,101742
Poso,2026,1,Januari,92374
Sigi,2026,1,Januari,126218
Tojo Una-una,2026,1,Januari,32202
Tolitoli,2026,1,Januari,30470
Banggai,2026,2,Februari,47117
Banggai Kepulauan,2026,2,Februari,17971
Banggai Laut,2026,2,Februari,11879
Buol,2026,2,Februari,14862
Donggala,2026,2,Februari,105425
Kota Palu,2026,2,Februari,251355
Morowali,2026,2,Februari,71993
Morowali Utara,2026,2,Februari,41959
Parigi Moutong,2026,2,Februari,89872
Poso,2026,2,Februari,67234
Sigi,2026,2,Februari,109690
Tojo Una-una,2026,2,Februari,26772
Tolitoli,2026,2,Februari,24119
Banggai,2026,3,Maret,71632
Banggai Kepulauan,2026,3,Maret,26861
Banggai Laut,2026,3,Maret,17274
Buol,2026,3,Maret,23130
Donggala,2026,3,Maret,143129
Kota Palu,2026,3,Maret,293562
Morowali,2026,3,Maret,92225
Morowali Utara,2026,3,Maret,54290
Parigi Moutong,2026,3,Maret,135334
Poso,2026,3,Maret,91235
Sigi,2026,3,Maret,126028
Tojo Una-una,2026,3,Maret,43725
Tolitoli,2026,3,Maret,46205
